instancia16.txt_5_currentSA	instancia16.txt_5_bestSA	instancia16.txt_5_currentTS	instancia16.txt_5_bestTS	instancia16.txt_5_currentGrasp	instancia16.txt_5_bestGrasp	instancia16.txt_5_currentIG	instancia16.txt_5_bestIG	
123.2	78.2	68.6	68.6	110.4	68.2	0	0	
117.8	78.2	68.6	68.6	106.4	68.2	0	0	
121.4	78.2	68.6	68.6	100.2	68.2	0	0	
118	78.2	68.6	68.6	98.2	68.2	0	0	
128	78.2	68.6	68.6	94.2	68.2	0	0	
128	78.2	68.6	68.6	92.2	68.2	0	0	
123.2	78.2	68.6	68.6	88.2	68.2	0	0	
106.8	78.2	68.6	68.6	84	68.2	0	0	
116	78.2	68.6	68.6	80	68.2	0	0	
120.4	78.2	68.6	68.6	78.2	68.2	0	0	
101	78.2	68.6	68.6	70.2	68.2	0	0	
101	78.2	68.6	68.6	68.2	68.2	0	0	
101	78.2	68.6	68.6	118.6	68.2	0	0	
100.2	78.2	68.6	68.6	118.6	68.2	0	0	
95.4	78.2	68.6	68.6	110.4	68.2	0	0	
95.4	78.2	68.6	68.6	106.4	68.2	0	0	
97.4	78.2	68.6	68.6	100.2	68.2	0	0	
108	78.2	68.6	68.6	98.2	68.2	0	0	
108	78.2	68.6	68.6	94.2	68.2	0	0	
102	78.2	68.6	68.6	92.2	68.2	0	0	
106	78.2	68.6	68.6	88.2	68.2	0	0	
107.8	78.2	68.6	68.6	84	68.2	0	0	
107.8	78.2	68.6	68.6	80	68.2	0	0	
107.8	78.2	68.6	68.6	78.2	68.2	0	0	
101	78.2	68.6	68.6	70.2	68.2	0	0	
